title,authors,journal,year,doi,abstract,tags
Nitrogen enrichment stimulates rhizosphere multi-element cycling genes via mediating plant biomass and root exudates,Lirong Liao; Jie Wang; Feike A. Dijkstra; Shilong Lei; Lu Zhang; Xiaojun Wang; Guobin Liu; Chao Zhang,Soil Biology and Biochemistry,2024,10.1016/j.soilbio.2023.109306,,氮添加/氮沉降
Metagenomic insights into nitrite accumulation in sulfur-based denitrification systems utilizing different electron donors: Functional microbial communities and metabolic mechanisms,Jiahui Wang; Fangzhai Zhang; Zhaozhi Wang; Haoran Liang; Ziyi Du; Yujing Zhang; Hongying Lü; Yongzhen Peng,Water Research,2024,10.1016/j.watres.2024.122805,,宏基因组/功能基因；氮循环过程
"Photo-oxidation of Micro- and Nanoplastics: Physical, Chemical, and Biological Effects in Environments",Yanghui Xu; Qin Ou; Jan Peter van der Hoek; Gang Liu; Kim Maren Lompe,Environmental Science & Technology,2024,10.1021/acs.est.3c07035,"Micro- and nanoplastics (MNPs) are attracting increasing attention due to their persistence and potential ecological risks. This review critically summarizes the effects of photo-oxidation on the physical, chemical, and biological behaviors of MNPs in aquatic and terrestrial environments. The core of this paper explores how photo-oxidation-induced surface property changes in MNPs affect their adsorption toward contaminants, the stability and mobility of MNPs in water and porous media, as well as the transport of pollutants such as organic pollutants (OPs) and heavy metals (HMs). It then reviews the photochemical processes of MNPs with coexisting constituents, highlighting critical factors affecting the photo-oxidation of MNPs, and the contribution of MNPs to the phototransformation of other contaminants. The distinct biological effects and mechanism of aged MNPs are pointed out, in terms of the toxicity to aquatic organisms, biofilm formation, planktonic microbial growth, and soil and sediment microbial community and function. Furthermore, the research gaps and perspectives are put forward, regarding the underlying interaction mechanisms of MNPs with coexisting natural constituents and pollutants under photo-oxidation conditions, the combined effects of photo-oxidation and natural constituents on the fate of MNPs, and the microbiological effect of photoaged MNPs, especially the biotransformation of pollutants.",微生物群落
Effects of Spartina alterniflora invasion on the community structure and diversity of wetland soil bacteria in the Yellow River Delta,Shuai Shang; Shunxin Hu; Xiaoxue Liu; Yu Zang; Jun Chen; Ning Gao; Liangyu Li; Jun Wang,Ecology and Evolution,2022,10.1002/ece3.8905,"Abstract The exotic plant Spartina alterniflora is expanding rapidly along China's coast regions, seriously threatening native ecosystems. Soil bacteria are important for biogeochemical cycles, including those of carbon, nitrogen, and sulfur, in wetland ecosystems. There is growing evidence that microorganisms are important in case of plant invasion. In the present study, we studied the interlacing area of S . alterniflora and Suaeda heteroptera , selected soil of invaded and non‐invaded regions and explored the effect of the composition and diversity of bacterial communities in coastal wetlands. The bacterial community composition of invasive and noninvasive areas was subjected to high‐throughput sequencing. In the five areas tested, the main bacterial phyla were Proteobacteria, Bacteroides, and Acidobacteria; the richness of the bacterial community in the soil increased after S . alterniflora invasion, most changes occurred at the genus level. The relative abundances of Desulfobulbus and Sulfurovum were higher in invasive areas than in noninvaded areas. PCA, RDA, and LEfSe analyses found that the S . alterniflora invasion significantly influenced the bacterial community and physicochemical properties of wetland soil. In conclusion, soil microbial community composition was tightly associated with S . alterniflora invasion. This study provide an important scientific basis for further research on the invasion mechanism of S . alterniflora .",滨海湿地/盐沼；湿地植被/盐生植物；微生物群落
Contrasting effects of warming and N deposition on soil microbial functional genes in a subtropical forest,Qiufang Zhang; Jiacong Zhou; Xiaojie Li; Yong Zheng; Lin Xie; Zhijie Yang; Xiaofei Liu; Chao Xu,Geoderma,2021,10.1016/j.geoderma.2021.115588,,宏基因组/功能基因
"[Functional Genes and Metabolic Pathways of Nitrogen Metabolism Microorganisms in Lake Sediments：A Case Study of Hongfeng Lake, Guizhou Province].",Qian Liu; X. Chen; Yancheng Li; Yuhang He; Jiang Li,Huan jing ke xue= Huanjing kexue,2024,10.13227/j.hjkx.202310134,,宏基因组/功能基因；微生物群落
Responses of functional genes involved in nitrogen cycling to green manuring in different paddy soils in south China,Shun Li; Hai Liang; Yun Wang; Zihan Zhang; Lei Zhang; Guopeng Zhou; Songjuan Gao; Weidong Cao,Plant and Soil,2022,10.1007/s11104-022-05491-5,,宏基因组/功能基因
Water Level Has Higher Influence on Soil Organic Carbon and Microbial Community in Poyang Lake Wetland Than Vegetation Type,Qiong Ren; Jihong Yuan; Jinping Wang; Xin Liu; Shilin Ma; Zhou Liyin; Lujun Miao; Jinchi Zhang,Microorganisms,2022,10.3390/microorganisms10010131,"Although microorganisms play a key role in the carbon cycle of the Poyang Lake wetland, the relationship between soil microbial community structure and organic carbon characteristics is unknown. Herein, high-throughput sequencing technology was used to explore the effects of water level (low and high levels above the water table) and vegetation types (Persicaria hydropiper and Triarrhena lutarioriparia) on microbial community characteristics in the Poyang Lake wetland, and the relationships between soil microbial and organic carbon characteristics were revealed. The results showed that water level had a significant effect on organic carbon characteristics, and that soil total nitrogen, organic carbon, recombinant organic carbon, particle organic carbon, and microbial biomass carbon were higher at low levels above the water table. A positive correlation was noted between soil water content and organic carbon characteristics. Water level and vegetation type significantly affected soil bacterial and fungal diversity, with water level exerting a higher effect than vegetation type. The impacts of water level and vegetation type were higher on fungi than on bacteria. The bacterial diversity and evenness were significantly higher at high levels above the water table, whereas an opposite trend was noted among fungi. The bacterial and fungal richness in T. lutarioriparia community soil was higher than that in P. hydropiper community soil. Although both water level and vegetation type had significant effects on bacterial and fungal community structures, the water level had a higher impact than vegetation type. The bacterial and fungal community changes were the opposite at different water levels but remained the same in different vegetation soils. The organic carbon characteristics of wetland soil were negatively correlated with bacterial diversity but positively correlated with fungal diversity. Soil water content, soluble organic carbon, C/N, and microbial biomass carbon were the key soil factors affecting the wetland microbial community. Acidobacteria, Alphaproteobacteria, Verrucomicrobia, Gammaproteobacteria, and Eurotiomycetes were the key microbiota affecting the soil carbon cycle in the Poyang Lake wetland. Thus, water and carbon sources were the limiting factors for bacteria and fungi in wetlands with low soil water content (30%). Hence, the results provided a theoretical basis for understanding the microbial-driven mechanism of the wetland carbon cycle.",滨海湿地/盐沼；微生物群落
Effects of nitrile compounds on the structure and function of soil microbial communities as revealed by metagenomes,Ting Gao; Yiwang Wang; Jin-long Lai; Fuli Wang; Ge Yao; Shaoheng Bao; Jiajia Liu; Xiukun Wan,Environmental Research,2024,10.1016/j.envres.2024.119700,,背景文献
Shifts in Microbial Community Structure and Co-occurrence Network along a Wide Soil Salinity Gradient,Li Yan; Juan Wang; Eryang Li; Xiaodong Yang; Jianjun Yang,Microorganisms,2024,10.3390/microorganisms12071268,"The response of microbiomes to salinity has been clarified in different geographic scales or ecosystems. However, how soil microbial community structure and interaction respond to salinity across wide salinity range and climatic region is still unclearly resolved. To address this issue, we examined the microbial community's composition in saline soils from two climatic regions (coastal wetland and arid desert). Our research confirms that soil salinity had a negative effect on soil nutrient content. Salinity decreased the relative abundance of bacteria, but increased archaea abundance, leading to the shifts from bacteria dominant community to archaea dominant community. Low-water medium-salinity soil (LWMS) had the most complex archaeal community network, whereas for bacteria, the most complex bacterial community network was observed in low-water high-salinity soils (LWHS). Key microbial taxa differed in three salinity gradients. Salinity, soil water content, pH, total nitrogen (TN), and soil organic carbon (SOC) were the main driving factors for the composition of archaeal and bacterial community. Salinity directly affected archaeal community, but indirectly influenced bacteria community through SOC; pH affected archaeal community indirectly through TN, but directly affected bacterial community. Our study suggests that soil salinity dramatically influences diversity, composition, and interactions within the microbial community.",滨海湿地/盐沼；微生物群落
"The short-term effect of simulated acid rain and nitrogen deposition on the soil microbial functional profile targeting C, N, and P cycling",Chong Li; Yong Ding; Shuifeng Zhang; Meiling Chen; Yuhao Wang; Zhaohui Jia; Shilin Ma; Jinchi Zhang,Applied Soil Ecology,2024,10.1016/j.apsoil.2024.105327,,氮添加/氮沉降
Metagenomics reveals N-induced changes in carbon-degrading genes and microbial communities of tea (Camellia sinensis L.) plantation soil under long-term fertilization,Xiangde Yang; Kang Ni; Yuanzhi Shi; Xiaoyun Yi; Lingfei Ji; Sirou Wei; Yanyan Jiang; Yongli Zhang,The Science of The Total Environment,2022,10.1016/j.scitotenv.2022.159231,,宏基因组/功能基因；氮添加/氮沉降
Responses of the rhizosphere microbiome to long-term nitrogen addition in a boreal forest,Yulei Fu; Guoyong Yan; Guancheng Liu; Binbin Huang; Xingyu Sun; Xiaochun Wang; Yajuan Xing; Qinggui Wang,Canadian Journal of Forest Research,2022,10.1139/cjfr-2022-0001,"As the interface between plants and soil, the response of the rhizosphere to nitrogen deposition is particularly important. The rhizosphere responses to nitrogen deposition are not consistent. Here, four levels of nitrogen addition treatments were applied in boreal forests of China for 8 years: control, low nitrogen, medium nitrogen, and high nitrogen. We analyzed the soil properties and microbial communities of rhizosphere and bulk soils under different nitrogen application levels and assessed the relationship between the main species and environmental factors. The results showed that long-term nitrogen addition significantly reduced the content of total carbon in the soil and increased the soil microbial biomass nitrogen in the rhizosphere. The total carbon content in the rhizosphere under high nitrogen was 40.79 g·kg −1 , which was significantly lower than that in the control (51.82 g·kg −1 ). The diversity of the rhizosphere and bulk soil fungal communities had different significant responses to nitrogen addition. Some specific microbial taxa could be used as rhizosphere bacterial biomarkers under different nitrogen treatments. The soil microbial biomass nitrogen was the significant environmental variable affecting bacterial species variation in the rhizosphere. Nitrogen addition will change the diversity of the rhizosphere microbial community by changing soil microenvironmental factors.",氮添加/氮沉降；微生物群落
Environmental Filtering by pH and Salinity Jointly Drives Prokaryotic Community Assembly in Coastal Wetland Sediments,Yu Huang; Qiuping Zhong; Yisheng Peng; Xiafei Zheng; Fanshu Xiao; Bo Wu; Xiaoli Yu; Zhiwen Luo,Frontiers in Marine Science,2022,10.3389/fmars.2021.792294,"Understanding the microbial community assembly is an essential topic in microbial ecology. Coastal wetlands are an important blue carbon sink, where microbes play a key role in biogeochemical cycling of nutrients and energy transformation. However, the drivers controlling the distribution patterns and assembly of bacterial and archaeal communities in coastal wetland are unclear. Here we examined the diversity, co-occurrence network, assembly processes and environmental drivers of bacterial and archaeal communities from inshore to offshore sediments by the sequencing of 16S rRNA gene amplicons. The value of α- and β-diversity of bacterial and archaeal communities generally did not change significantly ( P > 0.05) between offshore sites, but changed significantly ( P < 0.05) among inshore sites. Sediment pH and salinity showed significant effects on the diversity and keystone taxa of bacterial and archaeal communities. The bacterial and archaeal co-occurrence networks were inextricably linked with pH and salinity to formed the large network nodes, suggesting that they were the key factors to drive the prokaryotic community. We also identified that heterogeneous and homogeneous selection drove the bacterial and archaeal community assembly, while the two selections became weaker from offshore sites to inshore sites, suggesting that deterministic processes were more important in offshore sites. Overall, these results suggested that the environmental filtering of pH and salinity jointly governed the assembly of prokaryotic community in offshore sediments. This study advances our understanding of microbial community assembly in coastal wetland ecosystems.",滨海湿地/盐沼；微生物群落
Metagenomics reveals functional profiles of soil nitrogen and phosphorus cycling under different amendments in saline-alkali soil,Xiaolong Bai; Jinmin Wu; Bangyan Zhang; Hui Zhao; Feng Tian; Bin Wang,Environmental Research,2024,10.1016/j.envres.2024.120686,,宏基因组/功能基因
The influence of wet-to-dry season shifts on the microbial community stability and nitrogen cycle in the Poyang Lake sediment,Jiaxun Guo; Xu Wang; Xiaofeng Cao; Weixiao Qi; Jianfeng Peng; Huijuan Liu; Jiuhui Qu,The Science of The Total Environment,2023,10.1016/j.scitotenv.2023.166036,,微生物群落
Nonlinear response of soil microbial network complexity to long-term nitrogen addition in a semiarid grassland: Implications for soil carbon processes,Yaodan Zhang; Decao Niu; Qingwei Li; Huiying Liu; Ying Wang; Jingrun Xu; Baoming Du; Ding Guo,Agriculture Ecosystems & Environment,2024,10.1016/j.agee.2024.109407,,氮添加/氮沉降
Restoring wetlands on intensive agricultural lands modifies nitrogen cycling microbial communities and reduces N2O production potential,Kuno Kasak; Mikk Espenberg; Tyler L. Anthony; Susannah G. Tringe; Alex Valach; Kyle S. Hemes; Whendee L. Silver; Ülo Mander,Journal of Environmental Management,2021,10.1016/j.jenvman.2021.113562,,滨海湿地/盐沼
Microbial functional genes play crucial roles in enhancing soil nutrient availability of halophyte rhizospheres in salinized grasslands,Meng Liang; Yang Wu; Yaokun Jiang; Ziwen Zhao; Jinqiu Yang; Guobin Liu; Sha Xue,The Science of The Total Environment,2024,10.1016/j.scitotenv.2024.178160,,宏基因组/功能基因；湿地植被/盐生植物
Effects of short-term nitrogen and phosphorus addition on soil bacterial community of different halophytes,Zehao Zhang; Lijie Wang; Tian Li; Zhanyong Fu; Jingkuan Sun; Rui Hu; Yao Zhang,mSphere,2024,10.1128/msphere.00226-24,"ABSTRACT Soil microbial community composition and diversity are often affected by nutrient enrichment, which may influence soil microbes to affect nutrient cycling and plant community structure. However, the response of soil bacteria to nitrogen (N) and phosphorus (P) addition and whether it is influenced by plants remains unclear. By 16S rRNA sequencing, we investigated the response of the rhizosphere and bulk soil bacterial communities of different halophytes (salt-rejecting, salt-absorbing, and salt-secreting plant) in the Yellow River Delta to short-term N and P addition. The response of rhizosphere bacterial diversity to N and P addition was opposite in Phragmites communis and Suaeda salsa . N addition increased the rhizosphere soil bacterial α-diversity of S. salsa and Aeluropus sinensis , while P addition decreased the rhizosphere bacterial α-diversity bacteria of S. salsa . The N and P addition had a weak effect on the rhizosphere bacterial community composition and a significant effect on the bulk soil bacterial community composition of halophytes. The S. salsa and P. communis bulk soil bacterial community were mainly influenced by P addition, while it was influenced by N addition in A. sinensis . N and P addition reduced the difference in bacterial community composition between the two types of soil. N and P addition increased the eutrophic taxa ( Proteobacteria and Bacteroidetes ) and decreased the oligotrophic taxa ( Acidobacteria ). Redundancy analysis showed that soil organic matter, salt, and total N content had significant effects on the bacterial community composition. The results clarify that the response of soil bacterial communities to N and P additions is inconsistent across the three halophyte soils, and the effect of plant species on the bacterial community was stronger than short-term N and P addition. IMPORTANCE The bulk soil bacterial community was more affected by nutrient addition. Nitrogen (N) and phosphorus (P) have different effects on bacterial community. Soil organic matter is a key factor influencing the response of bacterial community to nutrient addition. N and P influence on bacterial community changes with plants.",滨海湿地/盐沼；湿地植被/盐生植物；微生物群落
Crab bioturbation alters nitrogen cycling and promotes nitrous oxide emission in intertidal wetlands: Influence and microbial mechanism,Zhirui An; Dengzhou Gao; Feiyang Chen; Li Wu; Jie Zhou; Zongxiao Zhang; Hongpo Dong; Guoyu Yin,The Science of The Total Environment,2021,10.1016/j.scitotenv.2021.149176,,滨海湿地/盐沼
Changes in the population and functional profile of bacteria and fungi in the rhizosphere of Suaeda salsa is driven by invasion of Spartina alterniflora,Chengfeng Yu; Jicheng Cao; Wen Du; Zhiyong Zhu; Min Xu,Ecological Indicators,2022,10.1016/j.ecolind.2022.109516,"Changes in rhizosphere microbial populations and their functions in response to Spartina alterniflora root invasion could potentially reveal part of the mechanism of Suaeda salsa degradation. In this study, rhizosphere soils were collected from regions where S. alterniflora (SA) and S. salsa (SS) grew independently as well as rhizosphere soil from mixed growth regions (namely MSA and MSS) before applying high-throughput sequencing technology to study the characteristics of microbial communities. The results showed that the physicochemical properties of the rhizosphere soils were different between the groups of samples. However, based on the multi-factor PERMANOVA analysis, only EC and NO3−-N were found to significantly influence the microbial communities’ composition. Furthermore, α diversity indices and β diversity analyses revealed that the diversity and structure of rhizosphere microbial community changed in varying degrees after invasion. Compared with SS, the most abundant bacteria phylum namely Tenericutes, Firmicutes, Proteobacteria and Actinobacteria in MSS were identified as major species that increased significantly in abundance in response to S. alterniflora root invasion, while the composition of fungal community did not change. Furthermore, PICRUSt analysis revealed that the higher abundance of signal transduction, membrane transport, cell motility and certain disease-related functional pathways of MSA and MSS could be conducive to the colonization and survival of bacterial pathogens. Additionally, the analysis of the FUNGuild database confirmed that a higher proportion of pathotroph and pathogen. This could very likely cause S. salsa to be more susceptible to soil pathogenic fungi in mixed growth region. In contrast, the increase of the saprotroph-symbiotroph could be beneficial for the colonization and expansion of S. alterniflora. This study provides a new perspective for elucidating the driving mechanism by microorganisms behind S. salsa’s degradation following S. alterniflora’s invasion.",湿地植被/盐生植物；微生物群落
"Nitrogen deposition affects microbial functional capacities, including carbon utilization",,,,10.21203/rs.3.rs-2818859/v1,,氮添加/氮沉降
"The mycorrhizal symbiosis: research frontiers in genomics, ecology, and agricultural application",Francis Martin; Marcel G. A. van der Heijden,New Phytologist,2024,10.1111/nph.19541,"Mycorrhizal symbioses between plants and fungi are vital for the soil structure, nutrient cycling, plant diversity, and ecosystem sustainability. More than 250 000 plant species are associated with mycorrhizal fungi. Recent advances in genomics and related approaches have revolutionized our understanding of the biology and ecology of mycorrhizal associations. The genomes of 250+ mycorrhizal fungi have been released and hundreds of genes that play pivotal roles in regulating symbiosis development and metabolism have been characterized. rDNA metabarcoding and metatranscriptomics provide novel insights into the ecological cues driving mycorrhizal communities and functions expressed by these associations, linking genes to ecological traits such as nutrient acquisition and soil organic matter decomposition. Here, we review genomic studies that have revealed genes involved in nutrient uptake and symbiosis development, and discuss adaptations that are fundamental to the evolution of mycorrhizal lifestyles. We also evaluated the ecosystem services provided by mycorrhizal networks and discuss how mycorrhizal symbioses hold promise for sustainable agriculture and forestry by enhancing nutrient acquisition and stress tolerance. Overall, unraveling the intricate dynamics of mycorrhizal symbioses is paramount for promoting ecological sustainability and addressing current pressing environmental concerns. This review ends with major frontiers for further research.",背景文献
Soil N index enhancement by organic fertilizer application depends on aggregate size,Zewen Hei; Jiayu Shao; Rutger A. Wilschut; Yuxuan Niu; Shenglei Hao; Hongyan Zhang; Jan E. Kammenga; Yongliang Chen,Applied Soil Ecology,2025,10.1016/j.apsoil.2025.106166,,背景文献
Effects of Spartina alterniflora Invasion on Soil Microbial Community Structure and Ecological Functions,Minmin Cao; Lina Cui; Huimin Sun; Xiaomian Zhang; Xiang Zheng; Jiang Jiang,Microorganisms,2021,10.3390/microorganisms9010138,"It has been reported that the invasion of Spartina alterniflora changed the soil microbial community in the mangrove ecosystem in China, especially the bacterial community, although the response of soil fungal communities and soil microbial ecological functions to the invasion of Spartina alterniflora remains unclear. In this study, we selected three different communities (i.e., Spartina alterniflora community (SC), Spartina alterniflora–mangrove mixed community (TC), and mangrove community (MC)) in the Zhangjiangkou Mangrove Nature Reserve in China. High-throughput sequencing technology was used to analyze the impact of Spartina alterniflora invasion on mangrove soil microbial communities. Our results indicate that the invasion of Spartina alterniflora does not cause significant changes in microbial diversity, but it can alter the community structure of soil bacteria. The results of the LEfSe (LDA Effect Size) analysis show that the relative abundance of some bacterial taxa is not significantly different between the MC and SC communities, but different changes have occurred during the invasion process (i.e., TC community). Different from the results of the bacterial community, the invasion of Spartina alterniflora only cause a significant increase in few fungal taxa during the invasion process, and these taxa are at some lower levels (such as family, genus, and species) and classified into the phylum Ascomycota. Although the invasion of Spartina alterniflora changes the taxa with certain ecological functions, it may not change the potential ecological functions of soil microorganisms (i.e., the potential metabolic pathways of bacteria, nutritional patterns, and fungal associations). In general, the invasion of Spartina alterniflora changes the community structure of soil microorganisms, but it may not affect the potential ecological functions of soil microorganisms.",湿地植被/盐生植物；微生物群落
"Shifts in Soil Microbial Community Composition, Function, and Co-occurrence Network of Phragmites australis in the Yellow River Delta",Pengcheng Zhu; Shuren Yang; Yuxin Wu; Yuning Ru; Xiaona Yu; Lushan Wang; Weihua Guo,Frontiers in Microbiology,2022,10.3389/fmicb.2022.858125,"Soil microorganisms play vital roles in regulating biogeochemical processes. The composition and function of soil microbial community have been well studied, but little is known about the responses of bacterial and fungal communities to different habitats of the same plant, especially the inter-kingdom co-occurrence pattern including bacteria and fungi. Herein, we used high-throughput sequencing to investigate the bacterial and fungal communities of five Phragmites australis habitats in the Yellow River Delta and constructed their inter-kingdom interaction network by network analysis. The results showed that richness did not differ significantly among habitats for either the bacterial or fungal communities. The distribution of soil bacterial community was significantly affected by soil physicochemical properties, whereas that of the fungal community was not. The main functions of the bacterial and fungal communities were to participate in the degradation of organic matter and element cycling, both of which were significantly affected by soil physicochemical properties. Network analysis revealed that bacteria and fungi participated in the formation of networks through positive interactions; the role of intra-kingdom interactions were more important than inter-kingdom interactions. In addition, rare species acted as keystones played a critical role in maintaining the network structure, while NO 3 − − N likely played an important role in maintaining the network topological properties. Our findings provided insights into the inter-kingdom microbial co-occurrence network and response of the soil microbial community composition and function to different P. australis habitats in coastal wetlands, which will deepen our insights into microbial community assembly in coastal wetlands.",滨海湿地/盐沼；湿地植被/盐生植物；微生物群落
Impact of soil inorganic nitrogen on bacterial phylogeny in estuarine intertidal zones: a study of nitrogen metabolism,Siqi Li; Tianyang Liu; Cheng Liu; Donglei Sun; Yan Qin; Dengzhou Gao; Zongxiao Zhang,Frontiers in Microbiology,2024,10.3389/fmicb.2023.1341564,"Here we investigated the potential impacts of soil inorganic nitrogen (SIN) content on the phylogenetic characteristics and ecological functions of soil bacterial communities in estuarine intertidal zones in China, aiming to comprehend the response mechanism of soil microorganisms to variations in SIN content within estuarine wetlands. Our results show that SIN in estuarine areas has a significant spatiotemporal variation on spatial and seasonal scales, in this study and is significantly associated with the phylogenetic diversity and phylogenetic turnover of soil bacterial communities. In addition, the results of the metagenomic analysis showed that the relative abundance of nitrogen-cycling functional genes in bacterial communities did not differ significantly in sampling sites and seasons, and weakly correlated with SIN content. Further, the results based on structural equation modeling (SEM) analysis showed that SIN directly and significantly regulated the phylogenetic characteristics of bacterial communities, thereby indirectly affecting the potential of bacterial nitrogen metabolism. This study emphasizes the key influence of SIN variations on the phylogenetic dissimilarity in soil bacterial communities. Moreover, although there was a weak direct relationship between the functional characteristics of the bacterial nitrogen metabolism and SIN content, the spatiotemporal variation of bacterial nitrogen metabolic potential may be indirectly regulated by SIN content by influencing the phylogenetic diversity in bacterial communities. Our study unravels the pivotal mechanisms through which SIN content influences bacterial communities, thereby offering novel insights into the microbial intricacies governing nitrogen metabolism within estuaries.",宏基因组/功能基因；滨海湿地/盐沼；微生物群落
"Elevated salinity decreases microbial communities complexity and carbon, nitrogen and phosphorus metabolism in the Songnen Plain wetlands of China",Shouyang Luo; Jiabao Yuan; Yanyu Song; Jiusheng Ren; Qi Jia; Mengyuan Zhu; Yisong Feng; Mengting Li,Water Research,2025,10.1016/j.watres.2025.123285,,滨海湿地/盐沼
"Nitrogen fertilization and irrigation types do not affect the overall N2O production potential of a sandy soil, but the microbial community structure and the quantity of functional genes related to the N cycle",Laura Charlotte Storch; Katharina Schulz; Cornelia Rißmann; Eduardo Cerull; Alexander Plakias; Iris Schlichting; Annette Prochnow; Liliane Rueß,Applied Soil Ecology,2023,10.1016/j.apsoil.2023.105083,,宏基因组/功能基因；氮添加/氮沉降；微生物群落
Metagenomics combined with metabolomics reveals the effect of Enterobacter sp. inoculation on the rhizosphere microenvironment of Bidens pilosa L. in heavy metal contaminated soil,Yi Li; Xinwei Shi; Weilan Tan; Qiujie Ling; Fengmei Pei; Shiyu Luo; Peiqing Qin; Huijian Yuan,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.132033,,宏基因组/功能基因
"Long-term saline water drip irrigation alters soil physicochemical properties, bacterial community structure, and nitrogen transformations in cotton",Xiaowen Guo; Siyao Du; Huijuan Guo; Min Wei,Applied Soil Ecology,2022,10.1016/j.apsoil.2022.104719,,微生物群落
Metagenomic and quantitative insights into microbial communities and functional genes of nitrogen and iron cycling in twelve wastewater treatment systems,Duntao Shu; Yanling He; Hong Yue; Qingyi Wang,Chemical Engineering Journal,2016,10.1016/j.cej.2016.01.024,,宏基因组/功能基因
Spatial distribution of soil iron across different plant communities along a hydrological gradient in the Yellow River Estuary wetland,Xue Liu; Dandan Sun; Jifa Qin; Jiapeng Zhang; Yunfei Yang; Jisong Yang; Zhikang Wang; Di Zhou,Frontiers in Ecology and Evolution,2022,10.3389/fevo.2022.979194,"Iron is an important element and its biogeochemical processes are vital to the matter and energy cycles of wetland ecosystems. Hydrology greatly controls characteristics of soil property and plant community in wetlands, which can regulate the behavior of iron and its oxides. However, it remains unclear how the spatial distribution of iron and its forms in estuarine wetlands responses to hydrological conditions. Five typical plant communities along a naturally hydrological gradient in the Yellow River Estuary wetland, including Phragmites australis in freshwater marsh (FPA), Phragmites australis in salt marsh (SPA), Tamarix chinensis in salt marsh (TC), Suaeda salsa in salt marsh (SS) and Spartina alterniflora in salt marsh (SA), as sites to collect soil samples. The total iron (Fe T ) and three iron oxides (complexed iron, Fe p ; amorphous iron, Fe o ; free iron, Fe d ) in samples were determined to clarify the spatial distribution of iron and explore its impact factors. The mean contents of Fe T , Fe p , Fe o and Fe d were 28079.4, 152.0, 617.2 and 8285.3 mg⋅kg –1 of soil at 0–40 cm depth in the different sites, respectively. The means were significantly different across communities along the hydrological gradient, with the higher values for SA on the upper intertidal zone and for SPA on the lower intertidal zone, respectively. Iron and its forms were positively correlated with the total organic carbon (TOC), dissolved organic carbon (DOC), total nitrogen (TN) and clay, and negatively correlated with electrical conductivity (EC). The indexes of iron oxides (Fe p /Fe d , Fe o /Fe d and Fe d /Fe T ) were also different across communities, with a higher value for SA, which were positively correlated with soil water content (WC) and TOC. The results indicate that a variety of plant community and soil property derived from the difference of hydrology might result in a spatial heterogeneity of iron in estuarine wetlands.",滨海湿地/盐沼；湿地植被/盐生植物
Divergent responses of soil microbial functional groups to long-term high nitrogen presence in the tropical forests,Weibin Chen; Fanglong Su; Yanxia Nie; Buqing Zhong; Yong Zheng; Jiangming Mo; Binghong Xiong; X. L. Lu,The Science of The Total Environment,2022,10.1016/j.scitotenv.2022.153251,,背景文献
Impacts of Spartina alterniflora invasion on C-cycling functional genes and microbial communities in salt marsh wetlands during cold season,Xiaoling Zhang; Bin Ma; Qian Zhang; Qingjun Wang; Xiaodong Yang; Junxiang Fei; Shihong Zhang; Fan Zhang,Ecological Processes,2025,10.1186/s13717-025-00592-2,,宏基因组/功能基因；滨海湿地/盐沼；湿地植被/盐生植物
"Effect of flumetsulam alone and coexistence with polyethylene microplastics on soil microbial carbon and nitrogen cycles: Elucidation of bacterial community structure, functional gene expression, and enzyme activity",Jingwen Zhang; Zongyuan Xiao; Dengtan Li; Xiaole Wang; Chengbo Lu; Zhongkun Du; Bing Li; Jinhua Wang,Journal of Hazardous Materials,2023,10.1016/j.jhazmat.2023.132367,,宏基因组/功能基因；微生物群落
"Structure and functional genes associated with carbon, nitrogen, phosphorus, and sulfur cycling processes in periphyton: A comparison between natural and artificial rivers",Yulu Tian; Jiezhang Mo; Jiaxin Liu; Chenghao Li; Jiahua Guo,River,2026,10.1002/rvr2.70044,"Periphyton in aquatic ecosystems plays vital roles in the elemental cycle process and is vulnerable to anthropogenic interference. However, few studies have explored the elemental cycles of carbon (C), nitrogen (N), phosphorus (P), and sulfur (S) in the natural and artificial rivers using functional genes and microbial interactions in periphyton. In this study, the DNA metabarcoding and the quantitative microbial element cycling smart chip were employed to investigate the differences in the microbial‐mediated CNPS cycling processes between the Feng and Zao Rivers, representing natural and artificial rivers, respectively. Compared with the more C‐fixation (7.55 × 10 4 ± 2.12 × 10 4 copies/ng) and nitrification (4.75 × 10 3 ± 2.95 × 10 3 copies/ng) gene abundance in the artificial river, the C‐degradation (2.98 × 10 4 ± 1.31 × 10 4 copies/ng), denitrification (3.62 × 10 4 ± 7.25 × 10 3 copies/ng), and S‐reduction (6.66 × 10 3 ± 4.26 × 10 3 copies/ng) gene abundance were more in the natural river. In the natural river, the low levels of TN (5.37 ± 0.40 mg/L), DO (3.27 ± 0.32 mg/L), NH 4 + (0.05 ± 0.05 mg/L), and NO 3 − (4.36 ± 0.88 mg/L) could support C‐degradation, denitrification, and S‐reduction. Conversely, higher NO 3 − levels (8.47 ± 2.13 mg/L) promoted nitrification in the artificial river. Moreover, more bacterial genera were involved in the CNPS cycling in the artificial river, whereas the bacterial‐algal relationship was more complex in the natural river. This study could provide insights into the biodiversity and ecological functions of periphyton in different river types.",宏基因组/功能基因；氮循环过程
